C:\4c\Engineering\bin>PLIST 4cpcdl
Microsoft (R) PLIST Version 6.00.8168.0
Copyright (c) Microsoft Corp 1991-1998. All rights reserved.

Profile: Function timing, sorted by time
Date:    Wed Jun 07 17:09:08 2006


Program Statistics
------------------
    Command line at 2006 Jun 07 17:07: 4dl C:\4c\Projects\d-236\MassTest\MassTest.4cp win1
    Total time: 87729,071 millisecond
    Time outside of functions: 11020,905 millisecond
    Call depth: 17
    Total functions: 1322
    Total hits: 345877
    Function coverage: 39,0%
    Overhead Calculated 963
    Overhead Average 963

Module Statistics for 4cpcdl.dll
--------------------------------
    Time in module: 76708,166 millisecond
    Percent of time in module: 100,0%
    Functions in module: 1322
    Hits in module: 345877
    Module function coverage: 39,0%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
       0,001   0,0        0,001   0,0        3 CString::operator+=(char const *) (mfc42.dll)
       0,001   0,0        0,003   0,0        6 CList<class CCallbackBaseSubscriptionModifiedCB *,class CCallbackBaseSubscriptionModifiedCB *>::~CList<class CCallbackBaseSubscriptionModifiedCB *,class CCallbackBaseSubscriptionModifiedCB *>(void) (subscripti
on.obj)
       0,001   0,0        0,001   0,0        2 CString::operator+=(class CString const &) (mfc42.dll)
       0,001   0,0        0,086   0,0        1 CStation::FireUploadReady(void) (dlstfire.obj)
       0,001   0,0        0,012   0,0       15 CImpCEDL::_InternalQueryInterface(struct _GUID const &,void * *) (cedl.obj)
       0,001   0,0        0,005   0,0        6 CSubscription::CSubscription(class CString const &,enum BL_IEC_TYP,class CSubscriber *) (subscription.obj)
       0,001   0,0        0,010   0,0        3 CSysAttrRS::DoFieldExchange(class CDaoFieldExchange *) (dlrs.obj)
       0,001   0,0        0,001   0,0        3 ATL::CComDynamicUnkArray::Remove(unsigned long) (cedl.obj)
       0,001   0,0        0,002   0,0        6 IDispatch::IDispatch(void) (dlcsc.obj)
       0,001   0,0        0,004   0,0        3 CConfRS::CConfRS(class CDaoDatabase *) (dlrs.obj)
       0,001   0,0        0,002   0,0        4 CFileStatus::CFileStatus(void) (dldb.obj)
       0,001   0,0        0,002   0,0        3 CHeaderInfo::CHeaderInfo(void) (dlstat.obj)
       0,001   0,0       11,024   0,0        1 CImpCEDL::FinalRelease(void) (downld.obj)
       0,001   0,0        0,003   0,0       10 ATL::IConnectionPointImpl<class CImpCEDL,&struct _GUID const IID__ICEMessageEvent,class ATL::CComDynamicUnkArray>::_LocCPQueryInterface(struct _GUID const &,void * *) (cedl.obj)
       0,001   0,0        0,001   0,0        5 CRefObj::AddRef(void) (dlstat.obj)
       0,001   0,0        0,001   0,0        4 AfxSetModuleState(class AFX_MODULE_STATE *) (mfc42.dll)
       0,001   0,0        0,003   0,0        1 CStationInfo::CStationInfo(void) (dlstinfo.obj)
